ER	na	na	na	na	na	na	na	+	+	-	+	-	-	-	+	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	+	+	+	-	+	+
ENSG00000070731 - G1149 ST6GALNAC2 ENSG00000070731 10610 10610 10610 9.12871797354253 7.71945727295317 1.37522580382694 7.2433164586539 5.66547549541104 4.45007082748577 1.44536808535054 8.39963475081235 4.05804396279579 3.36677997802127 4.35852057654121 2.22709224369456 7.87461752438311 5.84576092197041 0.856001352483779 7.62567388060004 6.98471316253209 2.07525320692742 9.92794880326798 10.3054528285341 3.66939715825412 4.4075945031713 3.93917887103028 5.78406009139448 5.15536873568522 8.18477510279698 8.19655131662853 9.06311305626588 6.24649339340275 9.68928215006293 8.08211617622839
ENSG00000164402 + G11665 SEPT8 ENSG00000164402 23176 23176 23176 7.4090000155399 8.90097991793781 7.40128216830372 9.80629102639035 7.03770495585628 5.95457737943129 6.36528621444524 7.57360458639416 6.96815390845242 6.98075891520688 7.53106129097509 7.10169017979109 7.46198267526308 7.19939219895225 7.3254006829092 7.36502984627535 7.39364621559911 7.50558953170326 7.4904031590622 7.22113129946038 5.91112103660539 6.00932935775018 7.58991106860902 6.88467148570592 6.57778835348854 7.7043727539069 8.47800688147495 8.42435190103121 6.62997765759819 7.80471102920327 7.47664543192189
ENSG00000164919 - G11799 COX6C ENSG00000164919 1345 1345 1345 11.3080545426299 12.8039899229358 10.3010006959407 11.6782774905784 10.8575278476281 10.6946226509549 10.7218952143886 13.6303449757249 11.0284434952262 10.5150762824533 11.0413846937562 11.5075588071828 10.9852121210195 10.7961024011546 10.0808872650921 14.6499364157863 11.9451167157424 10.6342794290039 11.8181226429655 11.143384807159 11.1556041768009 9.37889948709147 12.0696390051084 12.3274000713552 11.4440003815359 11.655757707611 11.3631228990689 12.3659423553715 11.4001745655842 11.9799671108996 11.8428157278176
ENSG00000165061 - G11835 ZMAT4 ENSG00000165061 79698 79698 79698 3.09950892561187 3.29388233220062 0 3.66131226077926 0 0.475232603413955 0 0 0.187074249781417 0 1.82477674089115 0.95583423743283 0.817866290676945 0 1.03917814111719 2.00214977435699 2.7459384295572 0 3.88958919977859 4.34326394632656 0 0 0.311057994104214 0 0 3.80721334594062 0 3.79238789374156 0 3.05669329776352 1.48638439544539
ENSG00000165475 + G11931 CRYL1 ENSG00000165475 51084 51084 51084 6.83748460594413 7.14902637714726 5.78271594933145 6.73645856416697 6.15909068773818 6.36986298675671 4.83428259712671 7.72279159356964 6.5967700852229 3.67532177543994 4.74418392535513 6.27805707842881 6.86678554598062 4.06006866124961 3.50885163412846 7.20979258581814 6.00525645767124 6.55241592048807 6.55986421983172 4.82298156811877 4.79447578581444 4.15656433630341 6.47595705283767 5.2670974986044 3.09801051689682 5.59971215302558 7.28113162397132 7.87985155417906 2.92321294334999 7.17803671262603 8.03679194478042
ENSG00000165731 + G12004 RET ENSG00000165731 5979 5979 5979 7.90633634492482 5.65970316490961 0.875431834262639 5.18532384380169 7.21605735884788 0.891647196461319 0.301871476451639 8.0782249489444 0.317231655758505 1.77014074829479 1.0823202749661 1.45685489772926 2.10553402957016 0 0.107445378829478 7.47895925170869 5.2297215449117 0.997318039356954 6.49639079394309 5.75900523939821 0 0.0972434550771748 2.60591052364476 2.61918531908393 0.148188620053108 5.60518530004017 2.61858955734462 8.83773648378505 9.22569982814189 3.75879014306896 4.07687568851481
ENSG00000165863 + G12033 C10orf82 ENSG00000165863 143379 143379 143379 0.255902175664804 4.8622813045603 0 1.05162896544533 1.36971537907262 0 0 1.07986354932609 0 4.11999833067798 0 0 0 0 0 2.51954914276812 3.49611378041372 0 0.650997072771329 0.396495876470138 0 0 0 0 0 3.75674884619516 3.64716359426748 4.16702833881744 0 0 4.25358636835877
ENSG00000167769 - G12546 ACER1 ENSG00000167769 125981 125981 125981 2.73328361909767 2.65713890383707 0 1.67937660562837 0.374803377950164 0 0.292647890361026 5.59370536411816 0 0 0 0 1.56160847366082 0 0 0.481232113766113 2.04634039546624 0 1.01070270298293 0 0 0 2.1791478098605 0 0 3.78687935544997 5.69357264897403 4.40438913624285 0 3.06750986654669 2.48266335361191
ENSG00000168350 - G12703 DEGS2 ENSG00000168350 123099 123099 123099 7.53736292369644 9.24496932300564 0 9.03323109387136 3.51762550658636 1.94049441072609 1.76977306140904 4.17288354216801 3.35141945630263 0.546714072612774 3.56793992546149 1.6425748520872 6.7223288600767 2.54709166550565 0.40577106943498 7.80779684720397 8.00126097860947 1.04861507105048 9.19694236050763 9.08954001016822 5.85133859156761 2.69914579878942 5.09768918880072 8.90879428389115 0 3.68609671837768 8.55709988920053 9.43859578475379 8.12030729176079 11.1821172886821 8.66708060700711
ENSG00000168421 - G12724 RHOH ENSG00000168421 399 399 399 4.65804153418523 4.50962581132878 0 5.20689528273767 0 0 0.285075322355394 5.48704080601648 0 0.208044689489846 0.37911552096277 3.14489476926235 3.9826017368536 1.02384393910264 0 4.41347875801759 1.83512925213925 0.537952659477869 5.71893924354069 4.61882502386615 1.33131930237203 0 3.76402934369055 4.36637041931331 0 4.98897666255889 4.73802931364784 3.0367533630006 3.33666650666528 5.33599408789486 5.25938273549355
ENSG00000168589 - G12764 DYNLRB2 ENSG00000168589 83657 83657 83657 3.16893993563761 4.21095958687186 0 3.07554340066595 0.993927424671588 0 0.444674335738147 4.72381927279764 0.673031183415103 0 0 2.56079424765642 4.79765095985635 0 0.809377552508481 3.52959254841396 0 0 2.58165453927942 1.13477269604834 0 0 0.597529607984522 3.93188028470301 1.02783119187662 1.81939920880349 4.0195752573359 3.96539895322827 2.05120217808846 3.56947019762893 4.46223860868853
ENSG00000169239 + G12931 CA5B ENSG00000169239 11238 11238 11238 7.14721314629791 4.47351187822207 3.71293713958954 4.74695559652213 2.90663170772522 2.95378371423563 4.1590503385299 6.43772425811333 2.69057535619696 2.45740216873703 3.61619815478371 3.55361893731997 4.76751983334861 3.5364947531818 3.65768850012928 4.65126977960783 3.93701048956606 3.06464056979777 4.5505599347442 3.35921649193336 2.53928468038088 3.15602511813037 1.95986025723317 3.53769624726063 1.97587243434848 5.37125843994542 3.93250076093408 4.20772600652238 2.57593664500088 3.07295258602296 4.80142278290788
ENSG00000169347 + G12959 GP2 ENSG00000169347 2813 2813 2813 0.794676455571677 3.6876904321476 0.278953875903477 1.14120275703701 0.214021726706509 0.238963638195735 1.0502074351747 2.49197236891115 0.439525550098163 0.123877399757422 0.5109802685205 0.380476962978632 0.152698449021301 0.254731722295815 0.527649667779611 3.00257622168778 0.55541686722999 0.0715531146380185 0.68222174110665 0.135422459409973 0.278894117164405 0.742810334195423 0.116351629837362 0.242612271165616 0.12302675097345 0.242616181363274 1.27565121175078 3.05928609727679 0.422630831428579 0.909242381802095 0.711728069527816
ENSG00000169429 + G12975 IL8 ENSG00000169429 3576 NA 3576 0.281437837721981 1.35456686675019 5.0008888084004 0.485866536369513 2.43024133290327 5.31822798065698 3.68314467846548 0.143554898237806 4.1919128709444 5.29829485360605 3.33962780007932 5.78102465444041 0.472633684966701 3.94880282424609 7.28194455459377 0.257675640886264 0.393638235514625 6.16649267155851 0.837462466215079 0 0 6.3091057859416 2.99503833008458 3.77787683644512 0.694336290820889 0.717501138697528 0 0 0.183146109941534 0 0.843894874039196
ENSG00000169891 + G13082 REPS2 ENSG00000169891 9185 9185 9185 4.7048230415559 5.2179596776115 0.51003832297211 5.86660272682726 1.78942921855759 3.11524283414269 1.45545408592339 5.71011847011812 3.7918475790473 1.08611562401686 2.2251916017047 4.49011020459949 3.0768721703791 5.14722636197126 1.27403548340318 3.94588118459811 4.13960190283526 2.97065575088895 3.70704200890728 3.68355170278759 3.01625210922174 2.78277626172423 2.84284730951244 3.52828834000475 2.96000213262238 4.67110991310055 4.82145667252319 5.02885303100272 0.987537267053597 4.556290854645 3.84090557669686
ENSG00000169895 + G13085 SYAP1 ENSG00000169895 94056 94056 94056 8.58087758015944 8.39472160864027 8.43873488628609 8.10756159524021 7.21001342617473 6.90293497499529 7.15142243069937 8.84541492926445 7.79984336696308 7.66141355155256 7.90996073550637 8.67095730124441 8.28759801024252 8.07309390024664 7.68077760490733 8.50019337109695 8.00928138966637 8.21438937892672 8.62603069067921 8.05325201536967 7.85285641429454 7.28760226033727 7.89611552415806 6.83270615438884 7.41934812607889 9.13087780934204 8.93704590588405 9.25767977435811 7.95537139288076 9.187146682764 9.09115251205436
ENSG00000170500 - G13241 LONRF2 ENSG00000170500 164832 164832 164832 4.34766030387118 6.69432734391469 2.29562612812418 4.29307481689043 0.948105052145259 1.4732685574117 0.355749359211315 5.13871680107145 0.333373720689727 0.31323062184037 0.599242826268875 0.206361333214952 0.113290205559461 0.0352168052512137 0.265813644350045 5.22385061044056 0.799397981291348 0.663026944620723 4.31862787037824 0.0706638679309233 0.305325151153669 0.152779464369081 0.146645807167774 2.06584815232878 0.0898687993744523 4.00442478310327 3.39328763651498 4.64517517562147 0.232471132086102 3.80433906389182 3.13761240100019
ENSG00000075461 - G1338 CACNG4 ENSG00000075461 27092 27092 27092 7.46163750904947 9.78158780400329 7.42984934259422 9.2041961974521 0.226010859817567 3.46900048273821 2.31184037692399 7.5420057150415 3.81613058960569 0 4.74855955631393 5.9565878005375 5.01513592521994 5.11645077496892 0.870973468772666 8.06997903521968 6.9615818388032 0.802903114127071 9.65418547134152 6.50907060653066 6.76516889873965 2.97760750106333 2.32950385408066 8.17159614731405 4.91995002802699 4.33678472508515 8.44113000057365 9.59221164875667 8.89572489776926 8.98136307643125 9.57363328607133
ENSG00000172264 - G13685 C20orf133 ENSG00000172264 140733 NA 140733 2.69058388048034 3.90897654038035 0.393787206788276 5.01716771898917 3.30630727724549 1.54903709928309 1.56933641329418 3.24219781368357 0.876366611549609 0.444531433564233 1.13800651234326 1.0119748822055 1.33859201258004 0.0409350342223051 0.524630663288833 3.71201977381384 1.21463634232261 0.164569899488112 1.99272027700968 2.5882188430107 1.40258445570007 0.888532576919093 0.651962042334308 2.76579328724389 0.54250860043558 1.60492236827036 1.991372944409 2.26903583393618 0.314487826159616 2.79579279884255 3.06370942958156
ENSG00000173467 + G13976 AGR3 ENSG00000173467 155465 155465 155465 5.05935151034033 7.95016252664545 0 0 0 0 0 7.92087998437296 0 0 0.809716691142022 1.35248740530643 0 7.98630036760611 0 4.75267255136378 2.74310938495787 0 2.87279653324776 0 0 0 4.20955051776987 2.46305999934437 0 5.50458321157911 5.72541642093957 4.84876108726844 0.415189381175195 7.67897781699073 5.22746427282437
ENSG00000174483 - G14185 BBS1 ENSG00000174483 582 582 582 7.02289093872709 7.03127385013291 5.2408163835097 5.97072301427597 5.5256882135985 4.56288772400141 5.76368669138026 7.3746306358134 6.25286093001551 5.93393113457229 5.81736404138667 5.28881217541188 7.1484760804264 5.53793248311771 4.83328977550828 5.87189666969423 6.55872944645401 4.43548158555123 6.50318061555685 6.8688874830192 6.04009728656198 6.0913857046472 5.00353914287804 7.13033837484627 5.33642050522307 7.44357457458075 7.63784673237311 7.19944942168325 6.13192949830449 7.22373331161975 6.98413033488067
ENSG00000174498 - G14190 PUNC ENSG00000174498 9543 NA 9543 4.24711031248663 4.94238764076678 0.806929069040521 0 0.0899619411107232 0 0.197015255312199 2.51375487707588 0 0 0 0 0.504717053139619 0 0.571744582382103 5.08186953931992 0.229077074951501 0.403068194127026 3.04389183363467 0 0 0 0 0 0 0 3.04235539638065 5.31748355692818 0 2.57912715556002 0.533545660316043
ENSG00000175356 + G14379 SCUBE2 ENSG00000175356 57758 57758 57758 3.33512878567663 10.5350715376717 1.96730737601908 0.997458994768386 1.54846097747873 0 0.856288867767986 3.36058828558555 0.404309300759188 0.412314754436513 0.913968233382614 0.517413751586655 0.266147516569598 0.0649690116975467 0.992038193364564 6.7906071467921 5.76678072522421 0.0681167414396991 5.21717497880065 0 0.558904825435188 0.143793006465572 0.484274635926234 0.659850561041301 0.217353240441623 0.15444349209414 8.57765177123212 7.77315105727938 1.54073853796987 6.16356917100003 1.12943862308112
ENSG00000176597 + G14658 B3GNT5 ENSG00000176597 84002 84002 84002 4.40089461989661 0.127878395832844 6.23108127067421 0 5.5255325438231 3.9394050455868 3.40851108999991 0 5.7446754484766 5.84392101416766 4.61586957082418 6.31796354885585 0 7.1724169969571 2.38521856751593 0.243022128832395 1.92073139515094 4.14932654329357 1.73587793122786 2.52207877023586 0.793219231602162 4.08653772160956 3.51973603056572 3.50537170012197 5.69592915221205 2.21116941926487 0.566262605339631 0.491999559605378 4.08326567646939 0 0
ENSG00000178988 + G15220 MRFAP1L1 ENSG00000178988 114932 114932 114932 8.62793995437442 9.05022633211747 7.74901497000835 9.03252896343775 8.66882093931806 7.54332267107149 7.10976290697216 8.75977197703655 7.8603391702236 7.02993152940675 8.15306447495067 7.54244617957948 7.50468853876244 7.81333012557039 7.54552483197388 8.85371370326624 8.15530869957038 7.54785575295882 8.461583425751 8.10685872667941 6.99854861527913 7.7535998264066 7.58374788114749 8.52550163185041 7.81247225374795 7.89779225202572 8.45193574897885 7.88329423944592 7.80258523322096 8.17398369934275 9.04161599698713
ENSG00000179010 - G15226 MRFAP1 ENSG00000179010 93621 93621 93621 10.0305218304997 10.4439403179396 10.2650456744943 10.802968051519 9.78872522173742 9.57677323641043 8.84933188958492 10.6880262491555 9.39631038277162 9.46143857777838 10.0184043300942 10.1212371438584 9.1417217433477 9.35200701018621 9.90563704084169 10.8656186141375 10.0139299154488 10.342167505302 10.6959066900271 10.4568486342402 9.1775555864819 9.8774200714742 10.0231096426189 9.7857560898783 9.9441136694591 10.9786760244076 10.7979399457979 10.4803422668695 9.58149779568526 10.353822226509 10.2396016855386
ENSG00000081041 - G1549 CXCL2 ENSG00000081041 2920 2920 2920 0 0 4.04029994259868 0 0 5.82997093153144 1.94560983613625 0 4.49531785973535 4.34716155198474 4.79981329052332 3.86978646600342 0.954403283967457 6.06527006001503 3.05763574467726 0 0.324407797188876 4.35466700001477 0.289328331500619 0 0 8.00911494081223 3.23600476528936 2.56226789032093 2.31648710030406 0 0.929485470567028 0 0.149456791766708 0 0
ENSG00000180777 + G15614 ANKRD30B ENSG00000180777 374860 374860 374860 4.52230612716927 0 1.10845984152822 6.25973982239254 0 0 0.367465683880798 3.97206581383954 0.12729382046262 0 0 0 0.13456111369669 0 1.70998900879311 2.45940711758529 0.169597740830134 0.900995810857546 4.72047923866753 0.805049029749777 0.684548548828132 0 0 0 0 0 2.21557151680214 4.17037350885573 0.0990621030904613 2.13189803240913 6.61713945286978
ENSG00000082175 + G1589 PGR ENSG00000082175 5241 5241 5241 5.81409712467115 4.607294010907 0 5.11313556802506 0 0 0 0 0 0 0 0 0 0 0 2.24821545073844 0.085526730182494 0 4.3203279812304 0.0975277432711066 0 0 0 0 0 0.844921517772466 7.85223985253457 6.97850096344416 0 6.26105350015179 0.123401515961122
ENSG00000183044 - G16172 ABAT ENSG00000183044 18 18 18 6.91012692687735 7.95555695878214 0.793974312184439 7.86690510621307 3.45828600771977 1.92478878574183 2.46888274602402 5.66881478611929 1.5818823781465 2.38863386641949 4.62926685554714 3.21064360931904 4.61403133317557 1.20944926705909 0.893729873751681 7.13369291089131 2.95879144518837 0.215054691819297 7.41968492513903 6.06084028068297 1.28812883879794 2.44456567730226 3.23089900747876 2.70727438745791 4.81677953490723 1.61717791222961 6.29617175929163 8.36144497281212 3.53775343494676 8.24735713002968 6.86355974952149
ENSG00000183317 - G16251 EPHA10 ENSG00000183317 284656 284656 284656 2.71719723835811 5.59444186158866 0 3.62860325996353 3.08353816922307 4.15353482147922 0.101972541555198 2.95782630836095 1.54973700566276 1.29231884768647 3.2743113079008 2.75869712514728 0.0893659076762928 0 0.102073346436478 3.88936451007243 4.3856340374522 0.952547629656371 4.05002652858254 3.07526759587892 0 3.16315320193206 2.2889046011991 3.76244342622617 0.860130393233545 4.58534969084897 4.04153023773931 4.45829010589285 0.546537069758759 5.59868204049825 3.25333278015625
ENSG00000084444 + G1658 KIAA1467 ENSG00000084444 57613 57613 57613 5.1794690667652 7.5784445476452 3.63207107124909 7.01047337645441 3.23659321466509 4.41295111805042 4.62908813211535 5.53765474072346 3.9047740181112 3.94700212262358 3.69263288809198 3.45733197487618 6.15585126154606 5.31667500152329 3.67899597268782 8.12293946464143 4.59900225368005 4.4876771956832 6.58738198416963 4.98897956000534 5.1176502518656 4.11786326209861 5.54226816275127 4.57936914780847 4.08908835160714 6.74669273958756 4.52105165276697 5.9942706157683 5.6949736396338 7.13839877577218 4.6729897699513
ENSG00000185261 - G16844 C5orf36 ENSG00000185261 285600 NA 285600 0.883434539975914 2.05770336988209 0.738247401852097 1.26217428304361 0.329420998880253 0.654364639074446 0.571549613554087 1.45165247625607 0.206350234128599 0 0 0.399450323107799 1.01448138208458 0.20574506382706 0 1.07749482357684 0.186172683789002 0 0.0568274284993912 0 0 0.431635932090667 0.178727333267076 0.134874485310883 0.623940607991835 0.956063076183686 2.14907941996044 0.652155607112316 0.160562877673203 1.1523975788812 1.67091466769585
ENSG00000186910 + G17325 SERPINA11 ENSG00000186910 256394 256394 256394 1.18806064577325 3.03015924623878 0 0 0 0 0.366341591402201 0 0 0 0 0 0 0 0 0.717903668173968 0 0 2.62199436524526 0 0 0 0 0 0 0 2.70757282687528 4.2483005481314 0.120317176835701 3.08710989447229 2.42312698187889
ENSG00000087274 + G1769 ADD1 ENSG00000087274 118 118 118 8.11860097398877 8.87959654856524 7.71112884570512 8.65240203575068 7.91533838693094 7.32979451711199 6.36980680470481 8.53881867114759 7.40629767944512 7.21090373987972 6.78924151688472 8.32707337220057 7.84778936419497 7.57243885218324 7.8636738148248 7.94809419661264 7.89414655207974 8.3599183240321 8.6204504738203 7.71778931289064 6.96379994424812 8.34162163267886 7.72449197746128 8.23284287645203 7.92184804195051 8.38494341433044 8.60855738714727 8.27968229142012 7.71409717107117 8.3822223808735 8.69549823551295
ENSG00000088002 + G1790 SULT2B1 ENSG00000088002 6820 6820 6820 8.06642770947972 7.88840215258934 0.851423759221547 6.51438396595551 0.496044346900886 3.66227793170158 0.697881870254327 8.04998573811394 1.73637412041988 5.00609624239328 6.64904012193378 5.92307632805638 8.7624979960623 5.65866056116116 0.391084969590462 8.88014828787877 8.56896360046092 0 7.65755198053502 5.73236259659044 5.80993020280595 4.07304737819871 6.06129250072142 8.16762523181558 5.1519619151476 9.62202522737777 7.19804100984488 8.60981197596863 6.60649396603838 8.0466458295849 7.39064961703575
ENSG00000196208 + G18160 AC110754.4 ENSG00000196208 9687 NA 9687 6.46267379555683 8.88052931500984 0.227010112801862 6.9764434910412 4.34031358387213 1.67406393136221 1.50478790202032 2.98349918218875 2.08014490362766 1.20049268271081 1.08170658214871 1.13140768704371 1.27446090427625 0.671157328033088 1.69986762479414 7.63649148884919 1.29996900898055 1.7316881929711 8.75034040187272 0.679962768196101 0.5252416910439 1.92948739229411 1.89924499068988 1.19506192580951 2.33572826826889 2.91007900963719 7.40369344950896 8.64902531138073 0.686391261447097 8.68631161938695 2.18641327417279
ENSG00000196557 - G18321 CACNA1H ENSG00000196557 8912 8912 8912 5.08667689837808 9.22516966453834 1.01551158664816 1.67633824759296 0.450488422213011 0.113992542014814 0.0396384217271811 2.48466935125827 7.15402844579222 0.665929333521383 0 0.424545131906698 0.256332328125466 0 0.474723763467104 6.40612063272877 4.86865119154762 2.08944529686016 7.13611117362512 0 0.328449005167835 0 2.34891863096026 5.48345265220906 0.692000005519571 1.63047476340238 6.36211637310167 9.03271016773168 2.28307744307738 4.12800723340589 6.8309592753458
ENSG00000196636 - G18355 ACN9 ENSG00000196636 57001 57001 57001 0 5.59742626284358 6.83406785389727 0.702612099066742 7.14257613343438 6.97101135778546 7.63646008003817 0 5.87030651749214 6.28350751527526 6.59971897853999 6.75706727446734 5.97064741283 7.18882029306922 6.5116417899434 0 6.22586913265354 6.56420681186638 5.92349148778842 5.6962171111056 7.74572971947993 6.34891470940977 6.77726838509026 5.63538057397344 7.76446249494669 9.22545019858977 0 5.46035204940397 6.89748297575191 0 0
ENSG00000196639 - G18356 HRH1 ENSG00000196639 3269 3269 3269 1.91642673675934 1.09633191080136 6.55074620925614 0.114991100582494 3.51453077683312 4.24046687646022 5.4469892354072 1.20314026214769 1.29908788894335 4.59400487796255 5.41179881664924 4.36317116627471 0.400769892144134 4.44722041596691 5.29187972433887 0.362937662651669 3.03841485853255 6.3667836955904 1.78382442544117 0.103259041486994 3.80783133250189 3.1738970667364 3.82800327365887 4.2500361428753 3.90872458509941 0.393499182321126 0.0661478687621114 1.28353475469436 4.32440163775447 1.33010665034681 3.25448183770376
ENSG00000007402 + G190 CACNA2D2 ENSG00000007402 9254 9254 9254 4.19633867907029 4.82604023569118 1.61855283073035 4.64884473978589 0.877589120839805 2.60365720105632 1.10280617142002 3.87784482842267 1.91941277523893 0.225446357641229 2.55818608430778 2.70491568814097 1.98947230904093 1.47221619305613 1.02124206675367 3.49804395470968 4.30706484179045 0.219399611892115 5.16526023908856 4.20603028546516 2.67820105306632 0.187354549419353 2.46262194223163 4.48702261478318 0.633141549216982 2.74555174625731 2.2888229727191 6.94261048058955 2.18754410773864 4.81161590461029 4.95416828986364
ENSG00000198133 + G19015 C14orf83 ENSG00000198133 161145 NA 161145 6.09010397149481 8.11358003760156 0.403691218858045 4.26962706732466 0.988271321484124 1.28365082319395 1.5683227862726 3.76455045265677 1.44751202712413 3.06816064305393 1.43408050618176 1.63548322014057 1.79578532997689 1.57942958857191 1.08716607592387 6.02830366645331 3.95383125576948 1.45959703916395 6.3477698352897 1.746313105448 5.16578359724503 1.14080015472299 2.70667939423284 0.576111713128815 1.85187207995453 0.759619766491328 5.48186888377878 7.79514897946923 3.98575725015145 7.07833385411114 3.12266076739616
ENSG00000090539 - G1919 CHRD ENSG00000090539 8646 8646 8646 1.09752445400297 3.17081599940846 0.438510160237695 4.0378877619895 0 0.121076690783927 0.61279177962299 0.831956840505109 1.94502759034889 0 0.314692026876652 0.517575033293429 0 0.128988132128109 0.497508247586418 2.66986066215254 0.537714038573034 0.57110555894225 3.20443736147176 2.70153865000656 0.491914604969138 0.965990043562812 1.55383998875046 1.77647263282926 0 2.2338769767436 5.13365748828108 6.64955833759667 0.194826884232041 1.13524287728447 2.45019800889472
